method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error
svm_tuned,few1,44,1,0.08452512899930298,complete,0.1,0.0001,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.07669616519174041,0.7413249211356467,0.314975845410628,0.18412162162162163,0.08636977058029689,0.13064133016627077,0.21248986212489862,0.3064020206922986,
nearest_centroid,few1,44,1,0.0010663579996617045,complete,,,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.07669616519174041,0.7413249211356467,0.314975845410628,0.18412162162162163,0.08636977058029689,0.13064133016627077,0.21248986212489862,,
pmd_l3,few1,44,1,,undefined,,,,,,,,,,,,,,,,,,IndexError: tuple index out of range
gabor_svm,few2,44,2,0.0010968480000883574,complete,1.0,scale,0.3249309967870361,0.26186114875524336,0.19506341471418256,0.2673248042830571,0.3261838440111421,0.7107623318385651,0.1487603305785124,0.10914454277286136,0.5283911671924291,0.14492753623188406,0.08108108108108109,0.10661268556005399,0.1163895486935867,0.45985401459854014,,
svm_tuned,few2,44,2,0.08749300799991033,complete,1000.0,0.001,0.38969661633308356,0.328579148217506,0.2541323164193782,0.3488127609976457,0.36643454038997214,0.7361733931240658,0.2727272727272727,0.30973451327433627,0.9716088328075709,0.221256038647343,0.1570945945945946,0.04723346828609987,0.22802850356294538,0.1954582319545823,0.38969661633308356,
nearest_centroid,few2,44,2,0.0011228260000279988,complete,,,0.3476054138617409,0.2818354807888167,0.1978750687406019,0.2972460895012267,0.3573816155988858,0.7914798206278026,0.06847697756788666,0.20648967551622419,0.6419558359621451,0.15265700483091788,0.14864864864864866,0.08636977058029689,0.06413301662707839,0.5150040551500406,,
pmd_l3,few2,44,2,0.005916699000408698,complete,,,0.2652507889105381,0.20621255247885242,0.0,0.2706354638201352,0.25292479108635096,0.01943198804185351,0.9787485242030697,0.2182890855457227,0.015772870662460567,0.07342995169082125,0.6773648648648649,0.0,0.19477434679334918,0.25790754257907544,,
gabor_svm,few5,44,5,0.0013579739998021978,complete,1.0,scale,0.5026405382519947,0.4343251200099733,0.34370006540407994,0.43799998916103966,0.4972144846796657,0.7922272047832586,0.9834710743801653,0.06489675516224189,0.416403785488959,0.36328502415458935,0.14864864864864866,0.44804318488529016,0.3681710213776722,0.35685320356853206,,
svm_tuned,few5,44,5,0.10366446900025039,complete,100.0,0.001,0.5519844207874267,0.4939769182709932,0.39003370697661566,0.5061628812093238,0.5653203342618385,0.8004484304932735,0.9763872491145218,0.14454277286135694,0.9305993690851735,0.3101449275362319,0.10472972972972973,0.5654520917678812,0.21140142517814728,0.5117599351175993,0.5519844207874267,
nearest_centroid,few5,44,5,0.0010194650003541028,complete,,,0.42130048157810024,0.42503885741692915,0.32879245496867626,0.43425846414973823,0.5103064066852367,0.8565022421524664,0.9881936245572609,0.168141592920354,0.38170347003154576,0.28695652173913044,0.07094594594594594,0.18488529014844804,0.3586698337292161,0.6123276561232766,,
pmd_l3,few5,44,5,0.009705469999971683,complete,,,0.30769861815844335,0.23069364212955135,0.14185182987162695,0.29381806388934134,0.2935933147632312,0.03886397608370702,1.0,0.3333333333333333,0.34069400630914826,0.02318840579710145,0.3158783783783784,0.022941970310391364,0.06175771971496437,0.5077047850770479,,
